"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,43334,9637,"BPS  Open Water",9637,"EVT  Open Water",9637
"2",31,9018,2131,474,"BPS  Barren-Rock/Sand/Clay",6066,"EVT  Sparsely Vegetated",2762
"3",31,9023,24473,5443,"BPS  Barren-Rock/Sand/Clay",6066,"EVT  Sparsely Vegetated",6969
"4",31,9024,672,149,"BPS  Barren-Rock/Sand/Clay",6066,"EVT  Sparsely Vegetated",233
"5",1247,7141,1,0,"BPS  Sparse",421,"EVT  Grassland",1199813
"6",1247,7295,43,10,"BPS  Sparse",421,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",4721
"7",1247,7299,1,0,"BPS  Sparse",421,"EVT  Developed-Roads",49986
"8",1247,7967,1,0,"BPS  Sparse",421,"EVT  Agricultural",205680
"9",1247,9018,1819,405,"BPS  Sparse",421,"EVT  Sparsely Vegetated",2762
"10",1247,9023,27,6,"BPS  Sparse",421,"EVT  Sparsely Vegetated",6969
"11",1248,7066,2,0,"BPS  Sparse",750,"EVT  Shrubland",14
"12",1248,7085,19,4,"BPS  Sparse",750,"EVT  Shrubland",246509
"13",1248,7086,2,0,"BPS  Sparse",750,"EVT  Shrubland",1517
"14",1248,7125,28,6,"BPS  Sparse",750,"EVT  Shrubland",139149
"15",1248,7132,1,0,"BPS  Sparse",750,"EVT  Grassland",622953
"16",1248,7141,96,21,"BPS  Sparse",750,"EVT  Grassland",1199813
"17",1248,7295,154,34,"BPS  Sparse",750,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",4721
"18",1248,7296,2,0,"BPS  Sparse",750,"EVT  Developed-Low Intensity",9431
"19",1248,7297,6,1,"BPS  Sparse",750,"EVT  Developed-Medium Intensity",4589
"20",1248,7298,8,2,"BPS  Sparse",750,"EVT  Developed-High Intensity",1576
"21",1248,7299,11,2,"BPS  Sparse",750,"EVT  Developed-Roads",49986
"22",1248,7903,8,2,"BPS  Sparse",750,"EVT  Developed",13163
"23",1248,7904,18,4,"BPS  Sparse",750,"EVT  Developed",14680
"24",1248,7923,2,0,"BPS  Sparse",750,"EVT  Developed",1819
"25",1248,7924,2,0,"BPS  Sparse",750,"EVT  Developed",3161
"26",1248,7963,14,3,"BPS  Sparse",750,"EVT  Agricultural",10540
"27",1248,7964,1,0,"BPS  Sparse",750,"EVT  Agricultural",9717
"28",1248,7965,44,10,"BPS  Sparse",750,"EVT  Agricultural",94331
"29",1248,7966,48,11,"BPS  Sparse",750,"EVT  Agricultural",43439
"30",1248,7967,50,11,"BPS  Sparse",750,"EVT  Agricultural",205680
"31",1248,7968,4,1,"BPS  Sparse",750,"EVT  Agricultural",12992
"32",1248,9018,170,38,"BPS  Sparse",750,"EVT  Sparsely Vegetated",2762
"33",1248,9023,2532,563,"BPS  Sparse",750,"EVT  Sparsely Vegetated",6969
"34",1248,9024,149,33,"BPS  Sparse",750,"EVT  Sparsely Vegetated",233
"35",1248,9816,2,0,"BPS  Sparse",750,"EVT  Exotic Herbaceous",46250
"36",1249,7011,25092,5580,"BPS  Hardwood",27586,"EVT  Hardwood",18762
"37",1249,7048,2143,477,"BPS  Hardwood",27586,"EVT  Conifer",15802
"38",1249,7085,1746,388,"BPS  Hardwood",27586,"EVT  Shrubland",246509
"39",1249,7141,3436,764,"BPS  Hardwood",27586,"EVT  Grassland",1199813
"40",1249,7145,58,13,"BPS  Hardwood",27586,"EVT  Grassland",250
"41",1249,7179,86187,19168,"BPS  Hardwood",27586,"EVT  Conifer",1716387
"42",1249,7295,8,2,"BPS  Hardwood",27586,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",4721
"43",1249,7296,35,8,"BPS  Hardwood",27586,"EVT  Developed-Low Intensity",9431
"44",1249,7297,12,3,"BPS  Hardwood",27586,"EVT  Developed-Medium Intensity",4589
"45",1249,7298,4,1,"BPS  Hardwood",27586,"EVT  Developed-High Intensity",1576
"46",1249,7299,468,104,"BPS  Hardwood",27586,"EVT  Developed-Roads",49986
"47",1249,7900,87,19,"BPS  Hardwood",27586,"EVT  Developed",1340
"48",1249,7901,138,31,"BPS  Hardwood",27586,"EVT  Developed",5238
"49",1249,7902,22,5,"BPS  Hardwood",27586,"EVT  Developed",598
"50",1249,7903,13,3,"BPS  Hardwood",27586,"EVT  Developed",13163
"51",1249,7904,197,44,"BPS  Hardwood",27586,"EVT  Developed",14680
"52",1249,7920,3,1,"BPS  Hardwood",27586,"EVT  Developed",34
"53",1249,7921,56,12,"BPS  Hardwood",27586,"EVT  Developed",1950
"54",1249,7923,22,5,"BPS  Hardwood",27586,"EVT  Developed",1819
"55",1249,7924,9,2,"BPS  Hardwood",27586,"EVT  Developed",3161
"56",1249,7963,2,0,"BPS  Hardwood",27586,"EVT  Agricultural",10540
"57",1249,7964,3,1,"BPS  Hardwood",27586,"EVT  Agricultural",9717
"58",1249,7965,95,21,"BPS  Hardwood",27586,"EVT  Agricultural",94331
"59",1249,7966,45,10,"BPS  Hardwood",27586,"EVT  Agricultural",43439
"60",1249,7967,195,43,"BPS  Hardwood",27586,"EVT  Agricultural",205680
"61",1249,7968,2,0,"BPS  Hardwood",27586,"EVT  Agricultural",12992
"62",1249,9019,15,3,"BPS  Hardwood",27586,"EVT  Riparian",19127
"63",1249,9328,1564,348,"BPS  Hardwood",27586,"EVT  Exotic Tree-Shrub",112507
"64",1249,9519,1,0,"BPS  Hardwood",27586,"EVT  Riparian",2919
"65",1249,9828,2384,530,"BPS  Hardwood",27586,"EVT  Exotic Herbaceous",39534
"66",1250,7011,6811,1515,"BPS  Conifer",88002,"EVT  Hardwood",18762
"67",1250,7013,8,2,"BPS  Conifer",88002,"EVT  Hardwood",231
"68",1250,7048,52876,11759,"BPS  Conifer",88002,"EVT  Conifer",15802
"69",1250,7085,8005,1780,"BPS  Conifer",88002,"EVT  Shrubland",246509
