model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
10110_20_29_A,10110_20_29,A,17,Rocky Mountain Aspen Forest and Woodland,1249,1,6294,10110,29,124042,5
10110_20_29_B,10110_20_29,B,18,Rocky Mountain Aspen Forest and Woodland,1249,2,8608,10110,29,124042,6
10110_20_29_C,10110_20_29,C,25,Rocky Mountain Aspen Forest and Woodland,1249,3,12704,10110,29,124042,10
10110_20_29_D,10110_20_29,D,26,Rocky Mountain Aspen Forest and Woodland,1249,4,64804,10110,29,124042,52
10110_20_29_E,10110_20_29,E,14,Rocky Mountain Aspen Forest and Woodland,1249,5,26268,10110,29,124042,21
10110_20_29_Agriculture,10110_20_29,Agriculture,0,Rocky Mountain Aspen Forest and Woodland,1249,180,342,10110,29,124042,0
10110_20_29_Developed,10110_20_29,Developed,0,Rocky Mountain Aspen Forest and Woodland,1249,120,1074,10110,29,124042,0
10110_20_29_Water,10110_20_29,Water,0,Rocky Mountain Aspen Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10110_20_29_UN,10110_20_29,UN,0,Rocky Mountain Aspen Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10110_20_29_UE,10110_20_29,UE,0,Rocky Mountain Aspen Forest and Woodland,1249,7,3948,10110,29,124042,3
10130_31_38_39_40_A,10130_31_38_39_40,A,18,Western Great Plains Dry Bur Oak Forest and Woodland,1675,1,1,10130,31,56320,0
10130_31_38_39_40_B,10130_31_38_39_40,B,17,Western Great Plains Dry Bur Oak Forest and Woodland,1675,2,699,10130,31,56320,1
10130_31_38_39_40_C,10130_31_38_39_40,C,35,Western Great Plains Dry Bur Oak Forest and Woodland,1675,3,978,10130,31,56320,1
10130_31_38_39_40_D,10130_31_38_39_40,D,30,Western Great Plains Dry Bur Oak Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10130_31_38_39_40_E,10130_31_38_39_40,E,NA,Western Great Plains Dry Bur Oak Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10130_31_38_39_40_Agriculture,10130_31_38_39_40,Agriculture,0,Western Great Plains Dry Bur Oak Forest and Woodland,1675,180,2720,10130,31,56320,4
10130_31_38_39_40_Developed,10130_31_38_39_40,Developed,0,Western Great Plains Dry Bur Oak Forest and Woodland,1675,120,1116,10130,31,56320,1
10130_31_38_39_40_Water,10130_31_38_39_40,Water,0,Western Great Plains Dry Bur Oak Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10130_31_38_39_40_UN,10130_31_38_39_40,UN,0,Western Great Plains Dry Bur Oak Forest and Woodland,1675,6,48483,10130,31,56320,86
10130_31_38_39_40_UE,10130_31_38_39_40,UE,0,Western Great Plains Dry Bur Oak Forest and Woodland,1675,7,2323,10130,31,56320,4
10480_29_A,10480_29,A,9,Northwestern Great Plains Highland White Spruce Woodland,1250,1,21706,10480,29,395702,5
10480_29_B,10480_29,B,8,Northwestern Great Plains Highland White Spruce Woodland,1250,2,11916,10480,29,395702,3
10480_29_C,10480_29,C,22,Northwestern Great Plains Highland White Spruce Woodland,1250,3,847,10480,29,395702,0
10480_29_D,10480_29,D,30,Northwestern Great Plains Highland White Spruce Woodland,1250,4,6110,10480,29,395702,1
10480_29_E,10480_29,E,31,Northwestern Great Plains Highland White Spruce Woodland,1250,5,335878,10480,29,395702,84
10480_29_Agriculture,10480_29,Agriculture,0,Northwestern Great Plains Highland White Spruce Woodland,1250,180,611,10480,29,395702,0
10480_29_Developed,10480_29,Developed,0,Northwestern Great Plains Highland White Spruce Woodland,1250,120,11470,10480,29,395702,2
10480_29_Water,10480_29,Water,0,Northwestern Great Plains Highland White Spruce Woodland,NA,NA,NA,NA,NA,NA,NA
10480_29_UN,10480_29,UN,0,Northwestern Great Plains Highland White Spruce Woodland,NA,NA,NA,NA,NA,NA,NA
10480_29_UE,10480_29,UE,0,Northwestern Great Plains Highland White Spruce Woodland,1250,7,7164,10480,29,395702,1
10490_19_20_21_23_28_29_A,10490_19_20_21_23_28_29,A,21,Rocky Mountain Foothill Limber Pine-Juniper Woodland,1251,1,16,10490,29,132,12
10490_19_20_21_23_28_29_B,10490_19_20_21_23_28_29,B,31,Rocky Mountain Foothill Limber Pine-Juniper Woodland,1251,2,74,10490,29,132,56
10490_19_20_21_23_28_29_C,10490_19_20_21_23_28_29,C,48,Rocky Mountain Foothill Limber Pine-Juniper Woodland,1251,3,31,10490,29,132,23
10490_19_20_21_23_28_29_D,10490_19_20_21_23_28_29,D,NA,Rocky Mountain Foothill Limber Pine-Juniper Woodland,NA,NA,NA,NA,NA,NA,NA
10490_19_20_21_23_28_29_E,10490_19_20_21_23_28_29,E,NA,Rocky Mountain Foothill Limber Pine-Juniper Woodland,NA,NA,NA,NA,NA,NA,NA
10490_19_20_21_23_28_29_Agriculture,10490_19_20_21_23_28_29,Agriculture,0,Rocky Mountain Foothill Limber Pine-Juniper Woodland,1251,180,3,10490,29,132,2
10490_19_20_21_23_28_29_Developed,10490_19_20_21_23_28_29,Developed,0,Rocky Mountain Foothill Limber Pine-Juniper Woodland,1251,120,1,10490,29,132,0
10490_19_20_21_23_28_29_Water,10490_19_20_21_23_28_29,Water,0,Rocky Mountain Foothill Limber Pine-Juniper Woodland,NA,NA,NA,NA,NA,NA,NA
10490_19_20_21_23_28_29_UN,10490_19_20_21_23_28_29,UN,0,Rocky Mountain Foothill Limber Pine-Juniper Woodland,NA,NA,NA,NA,NA,NA,NA
10490_19_20_21_23_28_29_UE,10490_19_20_21_23_28_29,UE,0,Rocky Mountain Foothill Limber Pine-Juniper Woodland,1251,7,7,10490,29,132,5
10510_29_A,10510_29,A,22,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10510_29_B,10510_29,B,6,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10510_29_C,10510_29,C,12,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10510_29_D,10510_29,D,59,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,1252,4,30,10510,29,64,46
10510_29_E,10510_29,E,1,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,1252,5,33,10510,29,64,51
10510_29_Agriculture,10510_29,Agriculture,0,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10510_29_Developed,10510_29,Developed,0,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10510_29_Water,10510_29,Water,0,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10510_29_UN,10510_29,UN,0,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,1252,6,1,10510,29,64,1
10510_29_UE,10510_29,UE,0,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10540_29_A,10540_29,A,6,Southern Rocky Mountain Ponderosa Pine Woodland,1253,1,945,10540,29,7032,13
10540_29_B,10540_29,B,19,Southern Rocky Mountain Ponderosa Pine Woodland,1253,2,1,10540,29,7032,0
10540_29_C,10540_29,C,13,Southern Rocky Mountain Ponderosa Pine Woodland,1253,3,345,10540,29,7032,4
10540_29_D,10540_29,D,53,Southern Rocky Mountain Ponderosa Pine Woodland,1253,4,4261,10540,29,7032,60
10540_29_E,10540_29,E,9,Southern Rocky Mountain Ponderosa Pine Woodland,1253,5,444,10540,29,7032,6
10540_29_Agriculture,10540_29,Agriculture,0,Southern Rocky Mountain Ponderosa Pine Woodland,1253,180,4,10540,29,7032,0
10540_29_Developed,10540_29,Developed,0,Southern Rocky Mountain Ponderosa Pine Woodland,1253,120,38,10540,29,7032,0
10540_29_Water,10540_29,Water,0,Southern Rocky Mountain Ponderosa Pine Woodland,NA,NA,NA,NA,NA,NA,NA
10540_29_UN,10540_29,UN,0,Southern Rocky Mountain Ponderosa Pine Woodland,1253,6,938,10540,29,7032,13
10540_29_UE,10540_29,UE,0,Southern Rocky Mountain Ponderosa Pine Woodland,1253,7,56,10540,29,7032,0
10550_29_A,10550_29,A,17,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,1254,1,1,10550,29,12,8
10550_29_B,10550_29,B,34,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10550_29_C,10550_29,C,8,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10550_29_D,10550_29,D,10,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10550_29_E,10550_29,E,31,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,1254,5,10,10550,29,12,83
10550_29_Agriculture,10550_29,Agriculture,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10550_29_Developed,10550_29,Developed,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,1254,120,1,10550,29,12,8
10550_29_Water,10550_29,Water,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10550_29_UN,10550_29,UN,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10550_29_UE,10550_29,UE,0,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10610_20_29_A,10610_20_29,A,9,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,1257,1,76947,10610,29,122376,62
10610_20_29_B,10610_20_29,B,44,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,1257,2,717,10610,29,122376,0
10610_20_29_C,10610_20_29,C,34,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,1257,3,34547,10610,29,122376,28
10610_20_29_D,10610_20_29,D,13,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,1257,4,4841,10610,29,122376,3
10610_20_29_E,10610_20_29,E,NA,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10610_20_29_Agriculture,10610_20_29,Agriculture,0,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,1257,180,38,10610,29,122376,0
10610_20_29_Developed,10610_20_29,Developed,0,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,1257,120,485,10610,29,122376,0
10610_20_29_Water,10610_20_29,Water,0,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10610_20_29_UN,10610_20_29,UN,0,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10610_20_29_UE,10610_20_29,UE,0,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,1257,7,4801,10610,29,122376,3
10620_10_19_21_29_31_A,10620_10_19_21_29_31,A,8,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,NA,NA,NA,NA,NA,NA,NA
10620_10_19_21_29_31_B,10620_10_19_21_29_31,B,14,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,NA,NA,NA,NA,NA,NA,NA
10620_10_19_21_29_31_C,10620_10_19_21_29_31,C,12,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,NA,NA,NA,NA,NA,NA,NA
10620_10_19_21_29_31_D,10620_10_19_21_29_31,D,21,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,NA,NA,NA,NA,NA,NA,NA
10620_10_19_21_29_31_E,10620_10_19_21_29_31,E,45,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,NA,NA,NA,NA,NA,NA,NA
10620_10_19_21_29_31_Agriculture,10620_10_19_21_29_31,Agriculture,0,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,NA,NA,NA,NA,NA,NA,NA
10620_10_19_21_29_31_Developed,10620_10_19_21_29_31,Developed,0,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,1258,120,39,10620,29,39,100
10620_10_19_21_29_31_Water,10620_10_19_21_29_31,Water,0,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,NA,NA,NA,NA,NA,NA,NA
10620_10_19_21_29_31_UN,10620_10_19_21_29_31,UN,0,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,NA,NA,NA,NA,NA,NA,NA
10620_10_19_21_29_31_UE,10620_10_19_21_29_31,UE,0,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,NA,NA,NA,NA,NA,NA,NA
10720_22_29_A,10720_22_29,A,32,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,NA,NA,NA,NA,NA,NA,NA
10720_22_29_B,10720_22_29,B,68,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,NA,NA,NA,NA,NA,NA,NA
10720_22_29_C,10720_22_29,C,NA,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,NA,NA,NA,NA,NA,NA,NA
10720_22_29_D,10720_22_29,D,NA,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,NA,NA,NA,NA,NA,NA,NA
10720_22_29_E,10720_22_29,E,NA,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,NA,NA,NA,NA,NA,NA,NA
10720_22_29_Agriculture,10720_22_29,Agriculture,0,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,NA,NA,NA,NA,NA,NA,NA
10720_22_29_Developed,10720_22_29,Developed,0,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,1260,120,1,10720,29,1,100
10720_22_29_Water,10720_22_29,Water,0,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,NA,NA,NA,NA,NA,NA,NA
10720_22_29_UN,10720_22_29,UN,0,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,NA,NA,NA,NA,NA,NA,NA
10720_22_29_UE,10720_22_29,UE,0,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,NA,NA,NA,NA,NA,NA,NA
10850_29_30_A,10850_29_30,A,53,Northwestern Great Plains Shrubland,1261,1,7214,10850,29,26385,27
10850_29_30_B,10850_29_30,B,29,Northwestern Great Plains Shrubland,1261,2,4,10850,29,26385,0
10850_29_30_C,10850_29_30,C,18,Northwestern Great Plains Shrubland,1261,3,12539,10850,29,26385,47
10850_29_30_D,10850_29_30,D,NA,Northwestern Great Plains Shrubland,NA,NA,NA,NA,NA,NA,NA
10850_29_30_E,10850_29_30,E,NA,Northwestern Great Plains Shrubland,NA,NA,NA,NA,NA,NA,NA
10850_29_30_Agriculture,10850_29_30,Agriculture,0,Northwestern Great Plains Shrubland,1261,180,3473,10850,29,26385,13
10850_29_30_Developed,10850_29_30,Developed,0,Northwestern Great Plains Shrubland,1261,120,88,10850,29,26385,0
10850_29_30_Water,10850_29_30,Water,0,Northwestern Great Plains Shrubland,NA,NA,NA,NA,NA,NA,NA
10850_29_30_UN,10850_29_30,UN,0,Northwestern Great Plains Shrubland,1261,6,313,10850,29,26385,1
10850_29_30_UE,10850_29_30,UE,0,Northwestern Great Plains Shrubland,1261,7,2754,10850,29,26385,10
10860_29_A,10860_29,A,5,Rocky Mountain Lower Montane-Foothill Shrubland,1262,1,1211,10860,29,281412,0
10860_29_B,10860_29,B,9,Rocky Mountain Lower Montane-Foothill Shrubland,1262,2,246,10860,29,281412,0
10860_29_C,10860_29,C,86,Rocky Mountain Lower Montane-Foothill Shrubland,1262,3,22297,10860,29,281412,7
10860_29_D,10860_29,D,NA,Rocky Mountain Lower Montane-Foothill Shrubland,NA,NA,NA,NA,NA,NA,NA
10860_29_E,10860_29,E,NA,Rocky Mountain Lower Montane-Foothill Shrubland,NA,NA,NA,NA,NA,NA,NA
10860_29_Agriculture,10860_29,Agriculture,0,Rocky Mountain Lower Montane-Foothill Shrubland,1262,180,9183,10860,29,281412,3
10860_29_Developed,10860_29,Developed,0,Rocky Mountain Lower Montane-Foothill Shrubland,1262,120,18346,10860,29,281412,6
10860_29_Water,10860_29,Water,0,Rocky Mountain Lower Montane-Foothill Shrubland,NA,NA,NA,NA,NA,NA,NA
10860_29_UN,10860_29,UN,0,Rocky Mountain Lower Montane-Foothill Shrubland,1262,6,205153,10860,29,281412,72
10860_29_UE,10860_29,UE,0,Rocky Mountain Lower Montane-Foothill Shrubland,1262,7,24976,10860,29,281412,8
10940_31_38_A,10940_31_38,A,5,Western Great Plains Sandhill Steppe,1679,1,1,10940,31,3562,0
10940_31_38_B,10940_31_38,B,38,Western Great Plains Sandhill Steppe,1679,2,2037,10940,31,3562,57
10940_31_38_C,10940_31_38,C,57,Western Great Plains Sandhill Steppe,1679,3,26,10940,31,3562,0
10940_31_38_D,10940_31_38,D,NA,Western Great Plains Sandhill Steppe,NA,NA,NA,NA,NA,NA,NA
10940_31_38_E,10940_31_38,E,NA,Western Great Plains Sandhill Steppe,NA,NA,NA,NA,NA,NA,NA
10940_31_38_Agriculture,10940_31_38,Agriculture,0,Western Great Plains Sandhill Steppe,1679,180,90,10940,31,3562,2
10940_31_38_Developed,10940_31_38,Developed,0,Western Great Plains Sandhill Steppe,1679,120,747,10940,31,3562,20
10940_31_38_Water,10940_31_38,Water,0,Western Great Plains Sandhill Steppe,NA,NA,NA,NA,NA,NA,NA
10940_31_38_UN,10940_31_38,UN,0,Western Great Plains Sandhill Steppe,1679,6,594,10940,31,3562,16
10940_31_38_UE,10940_31_38,UE,0,Western Great Plains Sandhill Steppe,1679,7,67,10940,31,3562,1
11060_20_21_29_A,11060_20_21_29,A,11,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,1263,1,2082,11060,29,18262,11
11060_20_21_29_B,11060_20_21_29,B,47,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,1263,2,1742,11060,29,18262,9
11060_20_21_29_C,11060_20_21_29,C,42,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,1263,3,278,11060,29,18262,1
11060_20_21_29_D,11060_20_21_29,D,NA,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,NA,NA,NA,NA,NA,NA,NA
11060_20_21_29_E,11060_20_21_29,E,NA,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,NA,NA,NA,NA,NA,NA,NA
11060_20_21_29_Agriculture,11060_20_21_29,Agriculture,0,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,1263,180,104,11060,29,18262,0
11060_20_21_29_Developed,11060_20_21_29,Developed,0,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,1263,120,1829,11060,29,18262,10
11060_20_21_29_Water,11060_20_21_29,Water,0,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,NA,NA,NA,NA,NA,NA,NA
11060_20_21_29_UN,11060_20_21_29,UN,0,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,1263,6,9486,11060,29,18262,51
11060_20_21_29_UE,11060_20_21_29,UE,0,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,1263,7,2741,11060,29,18262,15
11170_29_A,11170_29,A,5,Southern Rocky Mountain Ponderosa Pine Savanna,1264,1,23,11170,29,313,7
11170_29_B,11170_29,B,2,Southern Rocky Mountain Ponderosa Pine Savanna,NA,NA,NA,NA,NA,NA,NA
11170_29_C,11170_29,C,8,Southern Rocky Mountain Ponderosa Pine Savanna,1264,3,11,11170,29,313,3
11170_29_D,11170_29,D,80,Southern Rocky Mountain Ponderosa Pine Savanna,1264,4,101,11170,29,313,32
11170_29_E,11170_29,E,5,Southern Rocky Mountain Ponderosa Pine Savanna,1264,5,13,11170,29,313,4
11170_29_Agriculture,11170_29,Agriculture,0,Southern Rocky Mountain Ponderosa Pine Savanna,1264,180,17,11170,29,313,5
11170_29_Developed,11170_29,Developed,0,Southern Rocky Mountain Ponderosa Pine Savanna,1264,120,13,11170,29,313,4
11170_29_Water,11170_29,Water,0,Southern Rocky Mountain Ponderosa Pine Savanna,NA,NA,NA,NA,NA,NA,NA
11170_29_UN,11170_29,UN,0,Southern Rocky Mountain Ponderosa Pine Savanna,1264,6,114,11170,29,313,36
11170_29_UE,11170_29,UE,0,Southern Rocky Mountain Ponderosa Pine Savanna,1264,7,21,11170,29,313,6
11250_20_29_30_31_33_A,11250_20_29_30_31_33,A,35,Inter-Mountain Basins Big Sagebrush Steppe,1265,1,151883,11250,29,289595,52
11250_20_29_30_31_33_A,11250_20_29_30_31_33,A,35,Inter-Mountain Basins Big Sagebrush Steppe,1677,1,1178,11250,31,3065,38
11250_20_29_30_31_33_B,11250_20_29_30_31_33,B,39,Inter-Mountain Basins Big Sagebrush Steppe,1265,2,612,11250,29,289595,0
11250_20_29_30_31_33_B,11250_20_29_30_31_33,B,39,Inter-Mountain Basins Big Sagebrush Steppe,1677,2,1,11250,31,3065,0
11250_20_29_30_31_33_C,11250_20_29_30_31_33,C,26,Inter-Mountain Basins Big Sagebrush Steppe,1265,3,88984,11250,29,289595,30
11250_20_29_30_31_33_C,11250_20_29_30_31_33,C,26,Inter-Mountain Basins Big Sagebrush Steppe,1677,3,85,11250,31,3065,2
11250_20_29_30_31_33_D,11250_20_29_30_31_33,D,NA,Inter-Mountain Basins Big Sagebrush Steppe,NA,NA,NA,NA,NA,NA,NA
11250_20_29_30_31_33_E,11250_20_29_30_31_33,E,NA,Inter-Mountain Basins Big Sagebrush Steppe,NA,NA,NA,NA,NA,NA,NA
11250_20_29_30_31_33_Agriculture,11250_20_29_30_31_33,Agriculture,0,Inter-Mountain Basins Big Sagebrush Steppe,1265,180,19693,11250,29,289595,6
11250_20_29_30_31_33_Agriculture,11250_20_29_30_31_33,Agriculture,0,Inter-Mountain Basins Big Sagebrush Steppe,1677,180,74,11250,31,3065,2
11250_20_29_30_31_33_Developed,11250_20_29_30_31_33,Developed,0,Inter-Mountain Basins Big Sagebrush Steppe,1265,120,3067,11250,29,289595,1
11250_20_29_30_31_33_Developed,11250_20_29_30_31_33,Developed,0,Inter-Mountain Basins Big Sagebrush Steppe,1677,120,349,11250,31,3065,11
11250_20_29_30_31_33_Water,11250_20_29_30_31_33,Water,0,Inter-Mountain Basins Big Sagebrush Steppe,NA,NA,NA,NA,NA,NA,NA
11250_20_29_30_31_33_UN,11250_20_29_30_31_33,UN,0,Inter-Mountain Basins Big Sagebrush Steppe,1265,6,20917,11250,29,289595,7
11250_20_29_30_31_33_UN,11250_20_29_30_31_33,UN,0,Inter-Mountain Basins Big Sagebrush Steppe,1677,6,1368,11250,31,3065,44
11250_20_29_30_31_33_UE,11250_20_29_30_31_33,UE,0,Inter-Mountain Basins Big Sagebrush Steppe,1265,7,4439,11250,29,289595,1
11250_20_29_30_31_33_UE,11250_20_29_30_31_33,UE,0,Inter-Mountain Basins Big Sagebrush Steppe,1677,7,10,11250,31,3065,0
11260_20_29_33_A,11260_20_29_33,A,23,Inter-Mountain Basins Montane Sagebrush Steppe,1266,1,327,11260,29,513,63
11260_20_29_33_B,11260_20_29_33,B,51,Inter-Mountain Basins Montane Sagebrush Steppe,1266,2,7,11260,29,513,1
11260_20_29_33_C,11260_20_29_33,C,26,Inter-Mountain Basins Montane Sagebrush Steppe,1266,3,123,11260,29,513,23
11260_20_29_33_D,11260_20_29_33,D,NA,Inter-Mountain Basins Montane Sagebrush Steppe,NA,NA,NA,NA,NA,NA,NA
11260_20_29_33_E,11260_20_29_33,E,NA,Inter-Mountain Basins Montane Sagebrush Steppe,NA,NA,NA,NA,NA,NA,NA
11260_20_29_33_Agriculture,11260_20_29_33,Agriculture,0,Inter-Mountain Basins Montane Sagebrush Steppe,NA,NA,NA,NA,NA,NA,NA
11260_20_29_33_Developed,11260_20_29_33,Developed,0,Inter-Mountain Basins Montane Sagebrush Steppe,1266,120,13,11260,29,513,2
11260_20_29_33_Water,11260_20_29_33,Water,0,Inter-Mountain Basins Montane Sagebrush Steppe,NA,NA,NA,NA,NA,NA,NA
11260_20_29_33_UN,11260_20_29_33,UN,0,Inter-Mountain Basins Montane Sagebrush Steppe,1266,6,36,11260,29,513,7
11260_20_29_33_UE,11260_20_29_33,UE,0,Inter-Mountain Basins Montane Sagebrush Steppe,1266,7,7,11260,29,513,1
11320_31_38_A,11320_31_38,A,30,Central Mixedgrass Prairie,1681,1,11249,11320,31,490804,2
11320_31_38_B,11320_31_38,B,67,Central Mixedgrass Prairie,1681,2,378788,11320,31,490804,77
11320_31_38_C,11320_31_38,C,3,Central Mixedgrass Prairie,1681,3,604,11320,31,490804,0
11320_31_38_D,11320_31_38,D,NA,Central Mixedgrass Prairie,NA,NA,NA,NA,NA,NA,NA
11320_31_38_E,11320_31_38,E,NA,Central Mixedgrass Prairie,NA,NA,NA,NA,NA,NA,NA
11320_31_38_Agriculture,11320_31_38,Agriculture,0,Central Mixedgrass Prairie,1681,180,51389,11320,31,490804,10
11320_31_38_Developed,11320_31_38,Developed,0,Central Mixedgrass Prairie,1681,120,13686,11320,31,490804,2
11320_31_38_Water,11320_31_38,Water,0,Central Mixedgrass Prairie,NA,NA,NA,NA,NA,NA,NA
11320_31_38_UN,11320_31_38,UN,0,Central Mixedgrass Prairie,1681,6,4254,11320,31,490804,0
11320_31_38_UE,11320_31_38,UE,0,Central Mixedgrass Prairie,1681,7,30657,11320,31,490804,6
11390_29_A,11390_29,A,8,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,1267,1,239,11390,29,321786,0
11390_29_B,11390_29,B,92,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,1267,2,59138,11390,29,321786,18
