"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1269,6288816,11410,29,"11410_29_30","Northwestern Great Plains Mixedgrass Prairie","Grassland",13,NA,NA,13,100,NA,NA,"II-B",215,255,232,0.843137255,1,0.909803922,1398599,28.6
"2",1278,5399021,11791,29,"11791_29_30","Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna-Low Elevation Woodland","Conifer",307,263,20,18,6,7,87,"I-C",189,106,64,0.741176471,0.415686275,0.250980392,1200713,24.6
"3",1683,2206441,11480,31,"11480_31_38","Western Great Plains Sand Prairie","Grassland",15,12,12,4,28,36,36,"I-A",245,218,169,0.960784314,0.854901961,0.662745098,490701,10.1
"4",1279,2066647,11792,29,"11792_29_30","Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna-Savanna","Conifer",387,NA,15,15,4,NA,96,"I-B",255,175,135,1,0.68627451,0.529411765,459611,9.4
"5",1682,1217683,11410,31,"11410_31","Northwestern Great Plains Mixedgrass Prairie","Grassland",8,NA,NA,8,100,NA,NA,"II-B",215,255,232,0.843137255,1,0.909803922,270806,5.5
"6",1687,1075068,11790,31,"11790_31","Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna","Conifer",418,100,17,14,3,14,83,"I-B",189,106,64,0.741176471,0.415686275,0.250980392,239089,4.9
"7",1681,490804,11320,31,"11320_31_38","Central Mixedgrass Prairie","Grassland",8,NA,161,8,95,NA,5,"II-B",112,168,112,0.439215686,0.658823529,0.439215686,109152,2.2
"8",1686,440744,11620,31,"11620_31_39_40","Western Great Plains Floodplain Systems","Riparian",250,94,196,51,20,54,26,"III-A",102,153,205,0.4,0.6,0.803921569,98019,2
"9",1684,410261,11490,31,"11490_31_33","Western Great Plains Shortgrass Prairie","Grassland",21,NA,NA,21,100,NA,NA,"II-C",205,205,102,0.803921569,0.803921569,0.4,91240,1.9
"10",1250,395702,10480,29,"10480_29","Northwestern Great Plains Highland White Spruce Woodland","Conifer",270,119,45,29,11,24,65,"I-C",0,115,76,0,0.450980392,0.298039216,88002,1.8
"11",1267,321786,11390,29,"11390_29","Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland","Grassland",35,NA,NA,35,100,NA,NA,"II-C",171,205,102,0.670588235,0.803921569,0.4,71563,1.5
"12",1262,281412,10860,29,"10860_29","Rocky Mountain Lower Montane-Foothill Shrubland","Shrubland",106,NA,NA,106,100,NA,NA,"IV-B",137,68,101,0.537254902,0.266666667,0.396078431,62585,1.3
"13",1265,289595,11250,29,"11250_20_29_30_31_33","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",92,NA,NA,92,100,NA,NA,"IV-A",255,115,223,1,0.450980392,0.874509804,64404,1.3
"14",1276,272073,11620,29,"11620_29_30","Western Great Plains Floodplain Systems","Riparian",111,148,259,51,46,34,20,"III-A",102,153,205,0.4,0.6,0.803921569,60508,1.2
"15",1249,124042,10110,29,"10110_20_29","Rocky Mountain Aspen Forest and Woodland","Hardwood",121,588,NA,100,83,17,NA,"IV-A",255,255,115,1,1,0.450980392,27586,0.6
"16",1257,122376,10610,29,"10610_20_29","Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland","Hardwood-Conifer",118,102,NA,54,46,54,NA,"III-A",230,230,0,0.901960784,0.901960784,0,27216,0.6
