"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_20_29",0.0098114,"Rocky Mountain Aspen Forest and Woodland",1249,27586,0.6,270.6572804
"2","All Fire","10130_31_38_39_40",0.0599116,"Western Great Plains Dry Bur Oak Forest and Woodland",1675,12525,0.3,750.39279
"3","All Fire","10480_29",0.0340978,"Northwestern Great Plains Highland White Spruce Woodland",1250,88002,1.8,3000.6745956
"4","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1251,29,0,0.0732424
"5","All Fire","10510_29",0.0961674,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1252,14,0,1.3463436
"6","All Fire","10540_29",0.0568408,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,1564,0,88.8990112
"7","All Fire","10550_29",0.0087036,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1254,3,0,0.0261108
"8","All Fire","10610_20_29",0.018349,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1257,27216,0.6,499.386384
"9","All Fire","10620_10_19_21_29_31",0.014686,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1258,9,0,0.132174
"10","All Fire","10720_22_29",0.003041,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",1260,0,0,0
"11","All Fire","10850_29_30",0.065863,"Northwestern Great Plains Shrubland",1261,5868,0.1,386.484084
"12","All Fire","10860_29",0.0093834,"Rocky Mountain Lower Montane-Foothill Shrubland",1262,62585,1.3,587.260089
"13","All Fire","10940_31_38",0.0440666,"Western Great Plains Sandhill Steppe",1679,792,0,34.9007472
"14","All Fire","11060_20_21_29",0.0126868,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",1263,4061,0.1,51.5210948
"15","All Fire","11170_29",0.068606,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,70,0,4.80242
"16","All Fire","11250_20_29_30_31_33",0.010862,"Inter-Mountain Basins Big Sagebrush Steppe",1265,64404,1.3,699.556248
"17","All Fire","11250_20_29_30_31_33",0.010862,"Inter-Mountain Basins Big Sagebrush Steppe",1677,682,0,7.407884
"18","All Fire","11260_20_29_33",0.0201238,"Inter-Mountain Basins Montane Sagebrush Steppe",1266,114,0,2.2941132
"19","All Fire","11320_31_38",0.1313084,"Central Mixedgrass Prairie",1681,109152,2.2,14332.5744768
"20","All Fire","11390_29",0.028715,"Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland",1267,71563,1.5,2054.931545
"21","All Fire","11400_29",0.0124844,"Northern Rocky Mountain Subalpine-Upper Montane Grassland",1268,1003,0,12.5218532
"22","All Fire","11410_29_30",0.0739452,"Northwestern Great Plains Mixedgrass Prairie",1269,1398599,28.6,103419.6827748
"23","All Fire","11410_31",0.1247792,"Northwestern Great Plains Mixedgrass Prairie",1682,270806,5.5,33790.9560352
"24","All Fire","11450_29",0.0117916,"Rocky Mountain Subalpine-Montane Mesic Meadow",1270,5301,0.1,62.5072716
"25","All Fire","11480_20_29_30",0.0466178,"Western Great Plains Sand Prairie",1271,10886,0.2,507.4813708
"26","All Fire","11480_31_38",0.2313818,"Western Great Plains Sand Prairie",1683,490701,10.1,113539.2806418
"27","All Fire","11490_29",0.047766,"Western Great Plains Shortgrass Prairie",1272,2346,0,112.059036
"28","All Fire","11490_31_33",0.0470386,"Western Great Plains Shortgrass Prairie",1684,91240,1.9,4291.801864
"29","All Fire","11500_31_39_40",0.1987748,"Western Great Plains Tallgrass Prairie",1685,3058,0.1,607.8533384
"30","All Fire","11530_20_22_29_30",0.004888,"Inter-Mountain Basins Greasewood Flat",1273,1686,0,8.241168
"31","All Fire","11590_29",0.0186046,"Rocky Mountain Montane Riparian Systems",1274,30425,0.6,566.044955
"32","All Fire","11620_29_30",0.019482,"Western Great Plains Floodplain Systems",1276,60508,1.2,1178.816856
"33","All Fire","11620_31_39_40",0.019731,"Western Great Plains Floodplain Systems",1686,98019,2,1934.012889
"34","All Fire","11660_29",0.0542218,"Middle Rocky Mountain Montane Douglas-fir Forest and Woodland",1277,25,0,1.355545
"35","All Fire","11790_31",0.0706906,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna",1687,239089,4.9,16901.3448634
"36","All Fire","11791_29_30",0.057717,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Low Elevation Woodland",1278,1200713,24.6,69301.552221
