"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,43334,"Open Water",0,0,255,0,0,1,9637,0.2
"2",13,6025,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,1340,0
"3",14,23553,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,5238,0.1
"4",15,2688,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,598,0
"5",16,59188,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,13163,0.3
"6",17,66010,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,14680,0.3
"7",22,42406,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,9431,0.2
"8",23,20636,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,4589,0.1
"9",24,7086,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,1576,0
"10",25,224762,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,49986,1
"11",31,27276,"Barren",191,191,191,0.74902,0.74902,0.74902,6066,0.1
"12",32,21227,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,4721,0.1
"13",63,47393,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,10540,0.2
"14",64,43692,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,9717,0.2
"15",65,424162,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,94331,1.9
"16",68,58420,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,12992,0.3
"17",100,17531,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,3899,0.1
"18",101,143,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,32,0
"19",102,647,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,144,0
"20",103,4710,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,1047,0
"21",104,4639,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,1032,0
"22",105,11482,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,2554,0.1
"23",106,25914,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,5763,0.1
