"","VALUE","Freq","LABEL","DESCRIPTION","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1,1476343,"A","Succession Class A",161,99,51,0.631373,0.388235,0.2,328331,6.7
"2",2,7265144,"B","Succession Class B",56,168,0,0.219608,0.658824,0,1615729,33.1
"3",3,711553,"C","Succession Class C",201,222,171,0.788235,0.870588,0.670588,158246,3.2
"4",4,4918434,"D","Succession Class D",255,248,166,1,0.972549,0.65098,1093833,22.4
"5",5,1109326,"E","Succession Class E",0,74,77,0,0.290196,0.301961,246708,5.1
"6",6,3207524,"UN","Uncharacteristic Native Vegetation Cover/Structure/Composition",160,0,0,0.627451,0,0,713336,14.6
"7",7,975815,"UE","Uncharacteristic Exotic Vegetation",255,0,0,1,0,0,217016,4.4
"8",111,43334,"Water","Water",0,0,255,0,0,1,9637,0.2
"9",120,505486,"Developed","Developed",132,0,138,0.517647,0,0.541176,112417,2.3
"10",132,44958,"Barren or Sparse","Barren or Sparse",191,191,191,0.74902,0.74902,0.74902,9998,0.2
"11",180,1693837,"Agriculture","Agriculture",223,115,255,0.87451,0.45098,1,376700,7.7
